threat_id,threat,sandbox_id,sandbox,required_controls,coverage_score,coverage_band
cost_or_queue_runaway,"Long-running agent loops consume sandbox minutes, tokens, storage, or queue slots.",flue_virtual_sandbox,Flue virtual sandbox,cost_predictability; observability; workspace_reset,4.167,adequate
cost_or_queue_runaway,"Long-running agent loops consume sandbox minutes, tokens, storage, or queue slots.",daytona,Daytona sandboxes,cost_predictability; observability; workspace_reset,4.067,adequate
cost_or_queue_runaway,"Long-running agent loops consume sandbox minutes, tokens, storage, or queue slots.",kubernetes_hardened_pods,Kubernetes hardened pods,cost_predictability; observability; workspace_reset,4.067,adequate
cost_or_queue_runaway,"Long-running agent loops consume sandbox minutes, tokens, storage, or queue slots.",modal_sandboxes,Modal Sandboxes,cost_predictability; observability; workspace_reset,4.033,adequate
cost_or_queue_runaway,"Long-running agent loops consume sandbox minutes, tokens, storage, or queue slots.",docker_rootless,Docker rootless containers,cost_predictability; observability; workspace_reset,4.0,adequate
cost_or_queue_runaway,"Long-running agent loops consume sandbox minutes, tokens, storage, or queue slots.",e2b,E2B sandboxes,cost_predictability; observability; workspace_reset,4.0,adequate
cost_or_queue_runaway,"Long-running agent loops consume sandbox minutes, tokens, storage, or queue slots.",podman_rootless,Podman rootless containers,cost_predictability; observability; workspace_reset,4.0,adequate
cost_or_queue_runaway,"Long-running agent loops consume sandbox minutes, tokens, storage, or queue slots.",openhands_runtime_api,OpenHands runtime API sandbox,cost_predictability; observability; workspace_reset,3.967,adequate
cost_or_queue_runaway,"Long-running agent loops consume sandbox minutes, tokens, storage, or queue slots.",sandcastle_providers,Sandcastle provider sandboxes,cost_predictability; observability; workspace_reset,3.867,adequate
cost_or_queue_runaway,"Long-running agent loops consume sandbox minutes, tokens, storage, or queue slots.",gvisor_runsc,gVisor runsc,cost_predictability; observability; workspace_reset,3.867,adequate
cost_or_queue_runaway,"Long-running agent loops consume sandbox minutes, tokens, storage, or queue slots.",vercel_sandbox,Vercel Sandbox,cost_predictability; observability; workspace_reset,3.833,adequate
cost_or_queue_runaway,"Long-running agent loops consume sandbox minutes, tokens, storage, or queue slots.",codex_sandbox,Codex sandbox and approvals,cost_predictability; observability; workspace_reset,3.8,adequate
cost_or_queue_runaway,"Long-running agent loops consume sandbox minutes, tokens, storage, or queue slots.",firecracker_microvm,Firecracker microVMs,cost_predictability; observability; workspace_reset,3.767,adequate
cost_or_queue_runaway,"Long-running agent loops consume sandbox minutes, tokens, storage, or queue slots.",kata_containers,Kata Containers,cost_predictability; observability; workspace_reset,3.767,adequate
cost_or_queue_runaway,"Long-running agent loops consume sandbox minutes, tokens, storage, or queue slots.",nsjail_bubblewrap,nsjail or bubblewrap process sandbox,cost_predictability; observability; workspace_reset,3.533,adequate
credential_exposure,"Agent commands access API keys, CI secrets, cloud credentials, package tokens, or SSH material.",codex_sandbox,Codex sandbox and approvals,secret_boundary; filesystem_mount_control; observability,4.1,adequate
credential_exposure,"Agent commands access API keys, CI secrets, cloud credentials, package tokens, or SSH material.",daytona,Daytona sandboxes,secret_boundary; filesystem_mount_control; observability,4.1,adequate
credential_exposure,"Agent commands access API keys, CI secrets, cloud credentials, package tokens, or SSH material.",kubernetes_hardened_pods,Kubernetes hardened pods,secret_boundary; filesystem_mount_control; observability,4.067,adequate
credential_exposure,"Agent commands access API keys, CI secrets, cloud credentials, package tokens, or SSH material.",modal_sandboxes,Modal Sandboxes,secret_boundary; filesystem_mount_control; observability,4.067,adequate
credential_exposure,"Agent commands access API keys, CI secrets, cloud credentials, package tokens, or SSH material.",vercel_sandbox,Vercel Sandbox,secret_boundary; filesystem_mount_control; observability,4.067,adequate
credential_exposure,"Agent commands access API keys, CI secrets, cloud credentials, package tokens, or SSH material.",e2b,E2B sandboxes,secret_boundary; filesystem_mount_control; observability,4.0,adequate
credential_exposure,"Agent commands access API keys, CI secrets, cloud credentials, package tokens, or SSH material.",openhands_runtime_api,OpenHands runtime API sandbox,secret_boundary; filesystem_mount_control; observability,3.933,adequate
credential_exposure,"Agent commands access API keys, CI secrets, cloud credentials, package tokens, or SSH material.",firecracker_microvm,Firecracker microVMs,secret_boundary; filesystem_mount_control; observability,3.9,adequate
credential_exposure,"Agent commands access API keys, CI secrets, cloud credentials, package tokens, or SSH material.",flue_virtual_sandbox,Flue virtual sandbox,secret_boundary; filesystem_mount_control; observability,3.867,adequate
credential_exposure,"Agent commands access API keys, CI secrets, cloud credentials, package tokens, or SSH material.",kata_containers,Kata Containers,secret_boundary; filesystem_mount_control; observability,3.833,adequate
credential_exposure,"Agent commands access API keys, CI secrets, cloud credentials, package tokens, or SSH material.",sandcastle_providers,Sandcastle provider sandboxes,secret_boundary; filesystem_mount_control; observability,3.8,adequate
credential_exposure,"Agent commands access API keys, CI secrets, cloud credentials, package tokens, or SSH material.",gvisor_runsc,gVisor runsc,secret_boundary; filesystem_mount_control; observability,3.667,adequate
credential_exposure,"Agent commands access API keys, CI secrets, cloud credentials, package tokens, or SSH material.",nsjail_bubblewrap,nsjail or bubblewrap process sandbox,secret_boundary; filesystem_mount_control; observability,3.4,adequate
credential_exposure,"Agent commands access API keys, CI secrets, cloud credentials, package tokens, or SSH material.",podman_rootless,Podman rootless containers,secret_boundary; filesystem_mount_control; observability,3.3,partial
credential_exposure,"Agent commands access API keys, CI secrets, cloud credentials, package tokens, or SSH material.",docker_rootless,Docker rootless containers,secret_boundary; filesystem_mount_control; observability,3.233,partial
host_filesystem_escape,Agent-written code reads or modifies host files outside the intended workspace.,firecracker_microvm,Firecracker microVMs,filesystem_mount_control; workspace_reset; secret_boundary,4.333,strong
host_filesystem_escape,Agent-written code reads or modifies host files outside the intended workspace.,vercel_sandbox,Vercel Sandbox,filesystem_mount_control; workspace_reset; secret_boundary,4.3,strong
host_filesystem_escape,Agent-written code reads or modifies host files outside the intended workspace.,daytona,Daytona sandboxes,filesystem_mount_control; workspace_reset; secret_boundary,4.267,strong
host_filesystem_escape,Agent-written code reads or modifies host files outside the intended workspace.,e2b,E2B sandboxes,filesystem_mount_control; workspace_reset; secret_boundary,4.2,strong
host_filesystem_escape,Agent-written code reads or modifies host files outside the intended workspace.,modal_sandboxes,Modal Sandboxes,filesystem_mount_control; workspace_reset; secret_boundary,4.167,adequate
host_filesystem_escape,Agent-written code reads or modifies host files outside the intended workspace.,flue_virtual_sandbox,Flue virtual sandbox,filesystem_mount_control; workspace_reset; secret_boundary,4.133,adequate
host_filesystem_escape,Agent-written code reads or modifies host files outside the intended workspace.,kata_containers,Kata Containers,filesystem_mount_control; workspace_reset; secret_boundary,4.1,adequate
host_filesystem_escape,Agent-written code reads or modifies host files outside the intended workspace.,kubernetes_hardened_pods,Kubernetes hardened pods,filesystem_mount_control; workspace_reset; secret_boundary,4.067,adequate
host_filesystem_escape,Agent-written code reads or modifies host files outside the intended workspace.,codex_sandbox,Codex sandbox and approvals,filesystem_mount_control; workspace_reset; secret_boundary,4.033,adequate
host_filesystem_escape,Agent-written code reads or modifies host files outside the intended workspace.,openhands_runtime_api,OpenHands runtime API sandbox,filesystem_mount_control; workspace_reset; secret_boundary,4.033,adequate
host_filesystem_escape,Agent-written code reads or modifies host files outside the intended workspace.,sandcastle_providers,Sandcastle provider sandboxes,filesystem_mount_control; workspace_reset; secret_boundary,3.933,adequate
host_filesystem_escape,Agent-written code reads or modifies host files outside the intended workspace.,gvisor_runsc,gVisor runsc,filesystem_mount_control; workspace_reset; secret_boundary,3.867,adequate
host_filesystem_escape,Agent-written code reads or modifies host files outside the intended workspace.,podman_rootless,Podman rootless containers,filesystem_mount_control; workspace_reset; secret_boundary,3.533,adequate
host_filesystem_escape,Agent-written code reads or modifies host files outside the intended workspace.,nsjail_bubblewrap,nsjail or bubblewrap process sandbox,filesystem_mount_control; workspace_reset; secret_boundary,3.533,adequate
host_filesystem_escape,Agent-written code reads or modifies host files outside the intended workspace.,docker_rootless,Docker rootless containers,filesystem_mount_control; workspace_reset; secret_boundary,3.433,adequate
kernel_runtime_escape,A malicious dependency or generated program exploits the runtime boundary.,firecracker_microvm,Firecracker microVMs,isolation_strength; maturity; workspace_reset,4.467,strong
kernel_runtime_escape,A malicious dependency or generated program exploits the runtime boundary.,e2b,E2B sandboxes,isolation_strength; maturity; workspace_reset,4.367,strong
kernel_runtime_escape,A malicious dependency or generated program exploits the runtime boundary.,modal_sandboxes,Modal Sandboxes,isolation_strength; maturity; workspace_reset,4.3,strong
kernel_runtime_escape,A malicious dependency or generated program exploits the runtime boundary.,kata_containers,Kata Containers,isolation_strength; maturity; workspace_reset,4.267,strong
kernel_runtime_escape,A malicious dependency or generated program exploits the runtime boundary.,daytona,Daytona sandboxes,isolation_strength; maturity; workspace_reset,4.233,strong
kernel_runtime_escape,A malicious dependency or generated program exploits the runtime boundary.,kubernetes_hardened_pods,Kubernetes hardened pods,isolation_strength; maturity; workspace_reset,4.2,strong
kernel_runtime_escape,A malicious dependency or generated program exploits the runtime boundary.,vercel_sandbox,Vercel Sandbox,isolation_strength; maturity; workspace_reset,4.2,strong
kernel_runtime_escape,A malicious dependency or generated program exploits the runtime boundary.,gvisor_runsc,gVisor runsc,isolation_strength; maturity; workspace_reset,4.167,adequate
kernel_runtime_escape,A malicious dependency or generated program exploits the runtime boundary.,docker_rootless,Docker rootless containers,isolation_strength; maturity; workspace_reset,4.033,adequate
kernel_runtime_escape,A malicious dependency or generated program exploits the runtime boundary.,openhands_runtime_api,OpenHands runtime API sandbox,isolation_strength; maturity; workspace_reset,4.033,adequate
kernel_runtime_escape,A malicious dependency or generated program exploits the runtime boundary.,codex_sandbox,Codex sandbox and approvals,isolation_strength; maturity; workspace_reset,4.0,adequate
kernel_runtime_escape,A malicious dependency or generated program exploits the runtime boundary.,podman_rootless,Podman rootless containers,isolation_strength; maturity; workspace_reset,4.0,adequate
kernel_runtime_escape,A malicious dependency or generated program exploits the runtime boundary.,sandcastle_providers,Sandcastle provider sandboxes,isolation_strength; maturity; workspace_reset,3.767,adequate
kernel_runtime_escape,A malicious dependency or generated program exploits the runtime boundary.,nsjail_bubblewrap,nsjail or bubblewrap process sandbox,isolation_strength; maturity; workspace_reset,3.533,adequate
kernel_runtime_escape,A malicious dependency or generated program exploits the runtime boundary.,flue_virtual_sandbox,Flue virtual sandbox,isolation_strength; maturity; workspace_reset,3.5,adequate
private_network_exfiltration,Generated code scans private services or exfiltrates data through unrestricted outbound network access.,kubernetes_hardened_pods,Kubernetes hardened pods,network_control; observability; secret_boundary,4.167,adequate
private_network_exfiltration,Generated code scans private services or exfiltrates data through unrestricted outbound network access.,codex_sandbox,Codex sandbox and approvals,network_control; observability; secret_boundary,4.133,adequate
private_network_exfiltration,Generated code scans private services or exfiltrates data through unrestricted outbound network access.,daytona,Daytona sandboxes,network_control; observability; secret_boundary,4.067,adequate
private_network_exfiltration,Generated code scans private services or exfiltrates data through unrestricted outbound network access.,modal_sandboxes,Modal Sandboxes,network_control; observability; secret_boundary,4.033,adequate
private_network_exfiltration,Generated code scans private services or exfiltrates data through unrestricted outbound network access.,e2b,E2B sandboxes,network_control; observability; secret_boundary,4.0,adequate
private_network_exfiltration,Generated code scans private services or exfiltrates data through unrestricted outbound network access.,vercel_sandbox,Vercel Sandbox,network_control; observability; secret_boundary,4.0,adequate
private_network_exfiltration,Generated code scans private services or exfiltrates data through unrestricted outbound network access.,openhands_runtime_api,OpenHands runtime API sandbox,network_control; observability; secret_boundary,3.9,adequate
private_network_exfiltration,Generated code scans private services or exfiltrates data through unrestricted outbound network access.,firecracker_microvm,Firecracker microVMs,network_control; observability; secret_boundary,3.833,adequate
private_network_exfiltration,Generated code scans private services or exfiltrates data through unrestricted outbound network access.,kata_containers,Kata Containers,network_control; observability; secret_boundary,3.8,adequate
private_network_exfiltration,Generated code scans private services or exfiltrates data through unrestricted outbound network access.,flue_virtual_sandbox,Flue virtual sandbox,network_control; observability; secret_boundary,3.733,adequate
private_network_exfiltration,Generated code scans private services or exfiltrates data through unrestricted outbound network access.,sandcastle_providers,Sandcastle provider sandboxes,network_control; observability; secret_boundary,3.733,adequate
private_network_exfiltration,Generated code scans private services or exfiltrates data through unrestricted outbound network access.,gvisor_runsc,gVisor runsc,network_control; observability; secret_boundary,3.667,adequate
private_network_exfiltration,Generated code scans private services or exfiltrates data through unrestricted outbound network access.,podman_rootless,Podman rootless containers,network_control; observability; secret_boundary,3.367,partial
