alternative_id,alternative,maturity_level,source_confidence,stars,created_at,last_pushed_at,latest_release,gap_count,evidence_risk_score,evidence_risk_band,gaps,mitigation,adoption_implication
omni_agent,Omni Agent,alpha,0.55,1,2026-04-27,2026-05-16,,6,5.6,high,low_source_confidence; alpha_maturity; missing_latest_release; low_repository_traction; single_evidence_url; very_new_repository,Treat as reference-only or require a spike before inclusion in a serious pilot.,Do not choose as primary foundation without fresh evidence and a successful spike.
anchor,Anchor,alpha,0.55,0,2026-06-10,2026-06-17,v0.3.0,5,5.1,high,low_source_confidence; alpha_maturity; low_repository_traction; single_evidence_url; very_new_repository,Treat as reference-only or require a spike before inclusion in a serious pilot.,Do not choose as primary foundation without fresh evidence and a successful spike.
omniagent,OmniAgent,alpha,0.55,0,2026-06-03,2026-06-29,v0.1.0,5,5.1,high,low_source_confidence; alpha_maturity; low_repository_traction; single_evidence_url; very_new_repository,Treat as reference-only or require a spike before inclusion in a serious pilot.,Do not choose as primary foundation without fresh evidence and a successful spike.
omnigent,Omnigent,alpha,0.75,6304,2026-06-11,2026-07-05,v0.4.0,3,3.8,medium,alpha_maturity; single_evidence_url; very_new_repository,Treat as reference-only or require a spike before inclusion in a serious pilot.,Use as design reference or second-phase exploration.
openhands_agent_canvas,OpenHands Agent Canvas,beta,0.85,141,2026-04-24,2026-07-05,v1.1.0,1,2.0,low,very_new_repository,Proceed with normal pilot evidence capture.,Evidence is sufficient for shortlist-level screening.
open_swe,Open SWE,beta,0.92,10107,2025-05-21,2026-07-05,,1,1.82,low,missing_latest_release,"Verify docs, package/version story, and canonical repo before pilot setup.",Evidence is sufficient for shortlist-level screening.
sandcastle,Sandcastle,beta,0.9,6638,2026-03-17,2026-06-29,v0.12.0,1,1.8,low,single_evidence_url,"Verify docs, package/version story, and canonical repo before pilot setup.",Evidence is sufficient for shortlist-level screening.
flue,Flue,beta,0.95,7104,2026-02-07,2026-07-04,,1,1.7,low,missing_latest_release,"Verify docs, package/version story, and canonical repo before pilot setup.",Evidence is sufficient for shortlist-level screening.
mini_swe_agent,mini-SWE-agent,beta,0.93,5578,2025-06-28,2026-07-02,v2.4.4,0,1.28,low,,Proceed with normal pilot evidence capture.,Evidence is sufficient for shortlist-level screening.
deep_agents,Deep Agents,beta,0.95,25715,2025-07-27,2026-07-05,deepagents==0.6.12,0,1.2,low,,Proceed with normal pilot evidence capture.,Evidence is sufficient for shortlist-level screening.
swe_agent,SWE-agent,production,0.94,19705,2024-04-02,2026-07-01,v1.1.0,0,0.24,low,,Proceed with normal pilot evidence capture.,Evidence is sufficient for shortlist-level screening.
goose,goose,production,0.95,50679,2024-08-23,2026-07-05,v1.41.0,0,0.2,low,,Proceed with normal pilot evidence capture.,Evidence is sufficient for shortlist-level screening.
aider,Aider,production,0.96,47082,2023-05-09,2026-05-22,v0.86.0,0,0.16,low,,Proceed with normal pilot evidence capture.,Evidence is sufficient for shortlist-level screening.
cline,Cline / Cline SDK,production,0.96,64315,2024-07-06,2026-07-05,cli-v3.0.37,0,0.16,low,,Proceed with normal pilot evidence capture.,Evidence is sufficient for shortlist-level screening.
openhands_sdk,OpenHands Software Agent SDK,production,0.96,865,2025-08-23,2026-07-05,v1.31.0,0,0.16,low,,Proceed with normal pilot evidence capture.,Evidence is sufficient for shortlist-level screening.
opencode,OpenCode,production,0.97,182587,2025-04-30,2026-07-05,v1.17.13,0,0.12,low,,Proceed with normal pilot evidence capture.,Evidence is sufficient for shortlist-level screening.
codex_cli,Codex CLI,production,0.98,95651,2025-04-13,2026-07-05,rust-v0.142.5,0,0.08,low,,Proceed with normal pilot evidence capture.,Evidence is sufficient for shortlist-level screening.
